ICE/BRV2022,"Brazilian Real (BRL/USD) Futures, October 2022, BRV2022, CME"
ICE/TFM1997,"Russell 2000 Index Futures, June 1997, TFM1997, ICE"
ICE/TFU1999,"Russell 2000 Index Futures, September 1999, TFU1999, ICE"
ICE/TFU2000,"Russell 2000 Index Futures, September 2000, TFU2000, ICE"
ICE/TFZ2000,"Russell 2000 Index Futures, December 2000, TFZ2000, ICE"
ICE/CIX2011,"Continuous Commodity Index Futures, November 2011, CIX2011, ICE"
ICE/CIG2008,"Continuous Commodity Index Futures, February 2008, CIG2008, ICE"
ICE/CIQ2005,"Continuous Commodity Index Futures, August 2005, CIQ2005, ICE"
ICE/CIQ2011,"Continuous Commodity Index Futures, August 2011, CIQ2011, ICE"
ICE/CIJ2011,"Continuous Commodity Index Futures, April 2011, CIJ2011, ICE"
ICE/CIG2013,"Continuous Commodity Index Futures, February 2013, CIG2013, ICE"
ICE/CIG2012,"Continuous Commodity Index Futures, February 2012, CIG2012, ICE"
ICE/CIG2009,"Continuous Commodity Index Futures, February 2009, CIG2009, ICE"
ICE/CIX2008,"Continuous Commodity Index Futures, November 2008, CIX2008, ICE"
ICE/CIQ2007,"Continuous Commodity Index Futures, August 2007, CIQ2007, ICE"
ICE/CIJ2006,"Continuous Commodity Index Futures, April 2006, CIJ2006, ICE"
ICE/DXM1988,"Dollar Index Futures, June 1988, DXM1988, ICE"
ICE/DXM1986,"Dollar Index Futures, June 1986, DXM1986, ICE"
ICE/DXU1991,"Dollar Index Futures, September 1991, DXU1991, ICE"
ICE/CTK1990,"Cotton No. 2 Futures, May 1990, CTK1990, ICE"
ICE/MK2003,"UK Natural Gas Futures, May 2003 (MK2003)"
ICE/SBK1974,"Sugar No. 11 Futures, May 1974, SBK1974, ICE"
ICE/SBV1986,"Sugar No. 11 Futures, October 1986, SBV1986, ICE"
ICE/SBV2004,"Sugar No. 11 Futures, October 2004 (SBV2004)"
ICE/BF2003,"Brent Crude Futures, January 2003 (BF2003)"
ICE/RSV2016,"Canola Futures, October 2016 (RSV2016)"
ICE/CTN1988,"Cotton No. 2 Futures, July 1988, CTN1988, ICE"
ICE/CCU1992,"Cocoa Futures, September 1992, CCU1992, ICE"
ICE/BH1992,"Brent Crude Oil Futures, March 1992, BH1992, ICE"
ICE/YN2008,"UK Base Electricity Futures, July 2008 (YN2008)"
ICE/PQ2008,"UK Peak Electricity Futures, August 2008 (PQ2008)"
ICE/GM2008,"Gas Oil Futures, June 2008 (GM2008)"
ICE/CTH1997,"Cotton No. 2 Futures, March 1997, CTH1997, ICE"
ICE/TZ2007,"WTI Crude Futures, December 2007 (TZ2007)"
